original_ds,df,RiscoOriginal,RiscoTransformado,UtilOriginal,UtilTransformado,model
ds8,ds8_transf2_qi3.csv,0.072855961,0.014887207,0.698547783,0.68953691,Logistic Regression
ds8,ds8_transf2_qi3.csv,0.072855961,0.014887207,0.698547783,0.68953691,Logistic Regression
ds8,ds8_transf2_qi3.csv,0.072855961,0.014887207,0.83074029,0.828715207,Logistic Regression
ds8,ds8_transf2_qi3.csv,0.072855961,0.014887207,0.83074029,0.828715207,Logistic Regression
ds8,ds8_transf2_qi3.csv,0.072855961,0.014887207,0.830668527,0.829184478,Logistic Regression
ds8,ds8_transf2_qi3.csv,0.072855961,0.014887207,0.830668527,0.829184478,Logistic Regression
ds8,ds8_transf2_qi4.csv,0.050157219,0.009937715,0.698547783,0.694901803,Logistic Regression
ds8,ds8_transf2_qi4.csv,0.050157219,0.009937715,0.698547783,0.694901803,Logistic Regression
ds8,ds8_transf2_qi4.csv,0.050157219,0.009937715,0.83074029,0.84184024,Logistic Regression
ds8,ds8_transf2_qi4.csv,0.050157219,0.009937715,0.83074029,0.84184024,Logistic Regression
ds8,ds8_transf2_qi4.csv,0.050157219,0.009937715,0.830668527,0.843466722,Logistic Regression
ds8,ds8_transf2_qi4.csv,0.050157219,0.009937715,0.830668527,0.843466722,Logistic Regression
ds33,ds33_transf2_qi3.csv,0.090342388,0.016884253,0.873427003,0.864559712,Logistic Regression
ds33,ds33_transf2_qi3.csv,0.090342388,0.016884253,0.873427003,0.864559712,Logistic Regression
ds33,ds33_transf2_qi3.csv,0.090342388,0.016884253,0.868843205,0.868746708,Logistic Regression
ds33,ds33_transf2_qi3.csv,0.090342388,0.016884253,0.868843205,0.868746708,Logistic Regression
ds33,ds33_transf2_qi3.csv,0.090342388,0.016884253,0.868633381,0.869217325,Logistic Regression
ds33,ds33_transf2_qi3.csv,0.090342388,0.016884253,0.868633381,0.869217325,Logistic Regression
ds32,ds32_transf2_qi0.csv,0.206564178,0.036137578,0.699280848,0.678258659,Logistic Regression
ds32,ds32_transf2_qi0.csv,0.206564178,0.036137578,0.699280848,0.678258659,Logistic Regression
ds32,ds32_transf2_qi0.csv,0.206564178,0.036137578,0.793354656,0.786718294,Logistic Regression
ds32,ds32_transf2_qi0.csv,0.206564178,0.036137578,0.793354656,0.786718294,Logistic Regression
ds32,ds32_transf2_qi0.csv,0.206564178,0.036137578,0.794201723,0.787282559,Logistic Regression
ds32,ds32_transf2_qi0.csv,0.206564178,0.036137578,0.794201723,0.787282559,Logistic Regression
ds8,ds8_transf0_qi3.csv,0.072855961,0.008493538,0.698547783,0.672017789,Logistic Regression
ds8,ds8_transf0_qi3.csv,0.072855961,0.008493538,0.698547783,0.672017789,Logistic Regression
ds8,ds8_transf0_qi3.csv,0.072855961,0.008493538,0.83074029,0.832868751,Logistic Regression
ds8,ds8_transf0_qi3.csv,0.072855961,0.008493538,0.83074029,0.832868751,Logistic Regression
ds8,ds8_transf0_qi3.csv,0.072855961,0.008493538,0.830668527,0.834224711,Logistic Regression
ds8,ds8_transf0_qi3.csv,0.072855961,0.008493538,0.830668527,0.834224711,Logistic Regression
ds32,ds32_transf1_qi0.csv,0.206564178,0.023519905,0.699280848,0.678331248,Logistic Regression
ds32,ds32_transf1_qi0.csv,0.206564178,0.023519905,0.699280848,0.678331248,Logistic Regression
ds32,ds32_transf1_qi0.csv,0.206564178,0.023519905,0.793354656,0.783751043,Logistic Regression
ds32,ds32_transf1_qi0.csv,0.206564178,0.023519905,0.793354656,0.783751043,Logistic Regression
ds32,ds32_transf1_qi0.csv,0.206564178,0.023519905,0.794201723,0.784547553,Logistic Regression
ds32,ds32_transf1_qi0.csv,0.206564178,0.023519905,0.794201723,0.784547553,Logistic Regression
ds8,ds8_transf0_qi0.csv,0.037422463,0.004123097,0.698547783,0.681695989,Logistic Regression
ds8,ds8_transf0_qi0.csv,0.037422463,0.004123097,0.698547783,0.681695989,Logistic Regression
ds8,ds8_transf0_qi0.csv,0.037422463,0.004123097,0.83074029,0.830878696,Logistic Regression
ds8,ds8_transf0_qi0.csv,0.037422463,0.004123097,0.83074029,0.830878696,Logistic Regression
ds8,ds8_transf0_qi0.csv,0.037422463,0.004123097,0.830668527,0.830961059,Logistic Regression
ds8,ds8_transf0_qi0.csv,0.037422463,0.004123097,0.830668527,0.830961059,Logistic Regression
ds33,ds33_trans0_qi3.csv,0.090342388,0.009302065,0.873427003,0.86828692,Logistic Regression
ds33,ds33_trans0_qi3.csv,0.090342388,0.009302065,0.873427003,0.86828692,Logistic Regression
ds33,ds33_trans0_qi3.csv,0.090342388,0.009302065,0.868843205,0.874199485,Logistic Regression
ds33,ds33_trans0_qi3.csv,0.090342388,0.009302065,0.868843205,0.874199485,Logistic Regression
ds33,ds33_trans0_qi3.csv,0.090342388,0.009302065,0.868633381,0.874016845,Logistic Regression
ds33,ds33_trans0_qi3.csv,0.090342388,0.009302065,0.868633381,0.874016845,Logistic Regression
ds8,ds8_transf0_qi4.csv,0.050157219,0.005020898,0.698547783,0.680742908,Logistic Regression
ds8,ds8_transf0_qi4.csv,0.050157219,0.005020898,0.698547783,0.680742908,Logistic Regression
ds8,ds8_transf0_qi4.csv,0.050157219,0.005020898,0.83074029,0.832784458,Logistic Regression
ds8,ds8_transf0_qi4.csv,0.050157219,0.005020898,0.83074029,0.832784458,Logistic Regression
ds8,ds8_transf0_qi4.csv,0.050157219,0.005020898,0.830668527,0.832129699,Logistic Regression
ds8,ds8_transf0_qi4.csv,0.050157219,0.005020898,0.830668527,0.832129699,Logistic Regression
ds33,ds33_transf1_qi3.csv,0.090342388,0.006028642,0.873427003,0.866288009,Logistic Regression
ds33,ds33_transf1_qi3.csv,0.090342388,0.006028642,0.873427003,0.866288009,Logistic Regression
ds33,ds33_transf1_qi3.csv,0.090342388,0.006028642,0.868843205,0.864513201,Logistic Regression
ds33,ds33_transf1_qi3.csv,0.090342388,0.006028642,0.868843205,0.864513201,Logistic Regression
ds33,ds33_transf1_qi3.csv,0.090342388,0.006028642,0.868633381,0.864319624,Logistic Regression
ds33,ds33_transf1_qi3.csv,0.090342388,0.006028642,0.868633381,0.864319624,Logistic Regression
ds32,ds32_transf0_qi0.csv,0.206564178,0.013706874,0.699280848,0.676751995,Logistic Regression
ds32,ds32_transf0_qi0.csv,0.206564178,0.013706874,0.699280848,0.676751995,Logistic Regression
ds32,ds32_transf0_qi0.csv,0.206564178,0.013706874,0.793354656,0.795508389,Logistic Regression
ds32,ds32_transf0_qi0.csv,0.206564178,0.013706874,0.793354656,0.795508389,Logistic Regression
ds32,ds32_transf0_qi0.csv,0.206564178,0.013706874,0.794201723,0.794466132,Logistic Regression
ds32,ds32_transf0_qi0.csv,0.206564178,0.013706874,0.794201723,0.794466132,Logistic Regression
ds8,ds8_transf1_qi3.csv,0.072855961,0.00472755,0.698547783,0.673471481,Logistic Regression
ds8,ds8_transf1_qi3.csv,0.072855961,0.00472755,0.698547783,0.673471481,Logistic Regression
ds8,ds8_transf1_qi3.csv,0.072855961,0.00472755,0.83074029,0.830273236,Logistic Regression
ds8,ds8_transf1_qi3.csv,0.072855961,0.00472755,0.83074029,0.830273236,Logistic Regression
ds8,ds8_transf1_qi3.csv,0.072855961,0.00472755,0.830668527,0.832181772,Logistic Regression
ds8,ds8_transf1_qi3.csv,0.072855961,0.00472755,0.830668527,0.832181772,Logistic Regression
ds4,ds4_transf1_qi3.csv,0.99175,0.059093277,0.988091856,0.965803759,Logistic Regression
ds4,ds4_transf1_qi3.csv,0.99175,0.059093277,0.988091856,0.965803759,Logistic Regression
ds4,ds4_transf1_qi3.csv,0.99175,0.059093277,0.985645238,0.969248566,Logistic Regression
ds4,ds4_transf1_qi3.csv,0.99175,0.059093277,0.985645238,0.969248566,Logistic Regression
ds4,ds4_transf1_qi3.csv,0.99175,0.059093277,0.986547116,0.967714686,Logistic Regression
ds4,ds4_transf1_qi3.csv,0.99175,0.059093277,0.986547116,0.967714686,Logistic Regression
ds16,ds16_transf1_qi1.csv,0.9955,0.054769241,0.999370211,0.999061181,Logistic Regression
ds16,ds16_transf1_qi1.csv,0.9955,0.054769241,0.999370211,0.999061181,Logistic Regression
ds16,ds16_transf1_qi1.csv,0.9955,0.054769241,0.999370211,0.998746107,Logistic Regression
ds16,ds16_transf1_qi1.csv,0.9955,0.054769241,0.999370211,0.998746107,Logistic Regression
ds16,ds16_transf1_qi1.csv,0.9955,0.054769241,0.999370211,0.998746107,Logistic Regression
ds16,ds16_transf1_qi1.csv,0.9955,0.054769241,0.999370211,0.998746107,Logistic Regression
ds38,ds38_transf0_qi3.csv,0.282620018,0.015336821,0.836920226,0.836138064,Logistic Regression
ds38,ds38_transf0_qi3.csv,0.282620018,0.015336821,0.836920226,0.836138064,Logistic Regression
ds38,ds38_transf0_qi3.csv,0.282620018,0.015336821,0.836883015,0.836220431,Logistic Regression
ds38,ds38_transf0_qi3.csv,0.282620018,0.015336821,0.836883015,0.836220431,Logistic Regression
ds38,ds38_transf0_qi3.csv,0.282620018,0.015336821,0.836795521,0.836390638,Logistic Regression
ds38,ds38_transf0_qi3.csv,0.282620018,0.015336821,0.836795521,0.836390638,Logistic Regression
ds38,ds38_transf1_qi3.csv,0.282620018,0.015336821,0.836920226,0.836138064,Logistic Regression
ds38,ds38_transf1_qi3.csv,0.282620018,0.015336821,0.836920226,0.836138064,Logistic Regression
ds38,ds38_transf1_qi3.csv,0.282620018,0.015336821,0.836883015,0.836220431,Logistic Regression
ds38,ds38_transf1_qi3.csv,0.282620018,0.015336821,0.836883015,0.836220431,Logistic Regression
ds38,ds38_transf1_qi3.csv,0.282620018,0.015336821,0.836795521,0.836390638,Logistic Regression
ds38,ds38_transf1_qi3.csv,0.282620018,0.015336821,0.836795521,0.836390638,Logistic Regression
ds38,ds38_transf2_qi3.csv,0.282620018,0.015336821,0.836920226,0.836138064,Logistic Regression
ds38,ds38_transf2_qi3.csv,0.282620018,0.015336821,0.836920226,0.836138064,Logistic Regression
ds38,ds38_transf2_qi3.csv,0.282620018,0.015336821,0.836883015,0.836220431,Logistic Regression
ds38,ds38_transf2_qi3.csv,0.282620018,0.015336821,0.836883015,0.836220431,Logistic Regression
ds38,ds38_transf2_qi3.csv,0.282620018,0.015336821,0.836795521,0.836390638,Logistic Regression
ds38,ds38_transf2_qi3.csv,0.282620018,0.015336821,0.836795521,0.836390638,Logistic Regression
ds4,ds4_transf2_qi3.csv,0.99175,0.053703946,0.988091856,0.96710806,Logistic Regression
ds4,ds4_transf2_qi3.csv,0.99175,0.053703946,0.988091856,0.96710806,Logistic Regression
ds4,ds4_transf2_qi3.csv,0.99175,0.053703946,0.985645238,0.968919511,Logistic Regression
